Sigla_uf,Nome_municipio,Entidade_executora,Cod_ibge,Cnpj,Valor_per_capita,Aut_repasse_delegacao_rede,Prev_ed_infantil,Desc_ed_infantil,Vl_pagar_ed_infantil,Prev_ens_fundamental,Desc_ens_fundamental,Vl_pagar_ens_fundamental,Prev_ens_medio,Desc_ens_medio,Vl_pagar_ens_medio,Data_arquivo
PB,AMPARO,PREF MUN DE AMPARO,2500734,01612473000102,156.77,Sim,"7211,42",0,"7211,42","31040,46",0,"31040,46","11287,44",0,"11287,44",2025-09-01
PB,APARECIDA,PREF MUN DE APARECIDA,2500775,01613168000135,161.86,Sim,"6474,4",0,"6474,4","56812,86",0,"56812,86","12625,08",0,"12625,08",2025-09-01
PB,ARAçAGI,PREF MUN DE ARACAGI,2500809,08778029000100,165.82,Sim,"6301,16",0,"6301,16","87055,5",0,"87055,5","42615,74",0,"42615,74",2025-09-01
PB,ARARA,PREF MUN DE ARARA,2500908,08778755000123,156.92,Sim,"7218,32",0,"7218,32",66691,0,66691,"22439,56",0,"22439,56",2025-09-01
PB,ARARUNA,PREF MUN DE ARARUNA,2501005,08927105000100,159.89,Sim,"6075,82",0,"6075,82","98652,13",0,"98652,13","45408,76",0,"45408,76",2025-09-01
PB,AREIA,PREF MUN DE AREIA,2501104,08754111000103,159.89,Sim,"21745,04",0,"21745,04","180675,7",0,"180675,7","31338,44",0,"31338,44",2025-09-01
PB,AREIA DE BARAúNAS,PREF MUN DE AREIA DE BARAUNAS,2501153,01612685000190,157.91,Sim,"473,73",0,"473,73","6474,31",0,"6282,87","4895,21",0,"4895,21",2025-09-01
PB,AREIAL,PREF MUN DE AREIAL,2501203,08701062000132,153.96,Sim,"6774,24",0,"6774,24","62353,8",0,"62353,8","12624,72",0,"12624,72",2025-09-01
PB,AROEIRAS,PREF MUN DE AROEIRAS,2501302,08865636000108,165.82,Sim,"20395,86",0,"20395,86","161674,5",0,"161674,5","61021,76",0,"61021,76",2025-09-01
PB,ASSUNçãO,PREF MUN DE ASSUNCAO,2501351,01612635000102,159.89,Sim,"5116,48",0,"5116,48","30379,1",0,"30379,1","1918,68",0,"1918,68",2025-09-01
PB,BAíA DA TRAIçãO,PREF MUN DE BAIA DA TRAICAO,2501401,08894859000101,155.44,Sim,"32176,08",0,"32176,08","243729,92",0,"243729,92","41347,04",0,"41347,04",2025-09-01
PB,BANANEIRAS,PREF MUN DE BANANEIRAS,2501500,08927915000159,165.82,Sim,"20727,5",0,"20727,5","204290,24",0,"204290,24","73458,26",0,"73458,26",2025-09-01
PB,BARAúNA,PREF MUN DE BARAUNA,2501534,01612512000171,162.25,Sim,"2109,25",0,"2109,25","30665,25","7939,34","22725,91",12331,0,12331,2025-09-01
PB,BARRA DE SANTA ROSA,PREF MUN DE BARRA DE SANTA ROSA,2501609,08993925000192,165.82,Sim,"7461,9",0,"7461,9","112757,6",0,"112757,6","26199,56",0,"26199,56",2025-09-01
PB,BARRA DE SANTANA,PREF MUN DE BARRA DE SANTANA,2501575,01612535000186,165.82,Sim,"15255,44",0,"15255,44","128842,14",0,"128842,14","10612,48",0,"10612,48",2025-09-01
PB,BARRA DE SãO MIGUEL,PREF MUN DE BARRA DE SAO MIGUEL,2501708,08701708000181,165.82,Sim,"9285,92",0,"9285,92","46927,06",0,"46927,06","6301,16",0,"6301,16",2025-09-01
PB,BAYEUX,PREF MUN DE BAYEUX,2501807,08924581000160,156.5,Sim,626,0,626,7199,7199,0,"2660,5","667,76","1992,74",2025-09-01
PB,BELéM,PREF MUN DE BELEM,2501906,08928517000157,165.82,Sim,"3813,86",0,"3813,86","44108,12",0,"44108,12","18240,2",0,"18240,2",2025-09-01
PB,BELéM DO BREJO DO CRUZ,PREF MUN DE BELEM DO BREJO DO CRUZ,2502003,08920126000196,165.82,Sim,"4477,14",0,"4477,14","31671,62",0,"31671,62","2487,3",0,"2487,3",2025-09-01
PB,BERNARDINO BATISTA,PREF MUN DE BERNARDINO BATISTA,2502052,01621539000120,157.51,Sim,"5512,85",0,"5512,85","63476,53",0,"63476,53","18113,65",0,"18113,65",2025-09-01
PB,BOA VENTURA,PREF MUN DE BOA VENTURA,2502102,08940702000167,165.82,Sim,"2321,48",0,"2321,48","13431,42",0,"13431,42","3316,4",0,"3316,4",2025-09-01
PB,BOA VISTA,PREF MUN DE BOA VISTA,2502151,01612538000110,159.88,Sim,"13270,04",0,"13270,04","71306,48",0,"71306,48","18226,32",0,"18226,32",2025-09-01
PB,BOM JESUS,PREF MUN DE BOM JESUS,2502201,08923989000117,159.89,Sim,"2558,24",0,"2558,24","32937,34",0,"32937,34","6395,6",0,"6395,6",2025-09-01
PB,BOM SUCESSO,PREF MUN DE BOM SUCESSO,2502300,08920571000156,160.61,Sim,"4497,08",0,"4497,08","35012,98",0,"35012,98","12688,19",0,"12688,19",2025-09-01
PB,BONITO DE SANTA Fé,PREF MUN DE BONITO DE SANTA FE,2502409,08924037000118,160.73,Sim,"4018,25",0,"4018,25","53523,09",0,"53523,09","12858,4",0,"12858,4",2025-09-01
PB,BOQUEIRãO,PREF MUN DE BOQUEIRAO,2502508,08702573000179,159.88,Sim,"5915,56",0,"5915,56","83457,36",0,"83457,36","32935,28",0,"32935,28",2025-09-01
PB,BORBOREMA,PREF MUN DE BORBOREMA,2502706,09070400000148,159.89,Sim,"1758,79",0,"1758,79","29739,54",0,"29739,54","10073,07",0,"10073,07",2025-09-01
PB,BREJO DO CRUZ,PREF MUN DE BREJO DO CRUZ,2502805,08767154000115,159.88,Sim,"2398,2",0,"2398,2","36452,64",0,"36452,64","3837,12",0,"3837,12",2025-09-01
PB,BREJO DOS SANTOS,PREF MUN DE BREJO DOS SANTOS,2502904,09164716000107,157.39,Sim,"2833,02",0,"2833,02","25654,57",0,"25654,57","7869,5",0,"7869,5",2025-09-01
PB,CAAPORã,PREF MUN DE CAAPORA,2503001,08865644000154,165.82,Sim,"4642,96",0,"4642,96","54223,14","12029,57","42193,57","11275,76",0,"11275,76",2025-09-01
PB,CABACEIRAS,PREF MUN DE CABACEIRAS,2503100,08702862000178,165.82,Sim,"8622,64",0,"8622,64","55383,88",0,"55383,88","13265,6",0,"13265,6",2025-09-01
PB,CABEDELO,PREF MUN DE CABEDELO,2503209,09012493000154,159.89,Sim,0,0,0,"7994,5","2617,92","5376,58","6875,27",0,"6875,27",2025-09-01
